name;given name;family name;sex or gender;date of birth;electoral district;parliamentary term;parliamentary group;represents
Pilar del Castillo;María del Pilar;del Castillo;female;1952-07-31;Spain;9;European People's Party group;People's Party
Pilar del Castillo;María del Pilar;del Castillo;female;1952-07-31;Spain;10;European People's Party group;People's Party
Marion Maréchal;Marion;Maréchal;female;1989-12-10;France;10;European Conservatives and Reformists;independent politician
Elżbieta Kruk;Elżbieta;Kruk;female;1959-11-19;Poland;9;European Conservatives and Reformists;Law and Justice
Beata Kempa;Beata;Kempa;female;1966-02-11;Poland;9;European Conservatives and Reformists;Sovereign Poland
Beata Mazurek;Beata;Mazurek;female;1967-10-19;Poland;9;European Conservatives and Reformists;Law and Justice
Izabela Kloc;Izabela;Kloc;female;1963-05-08;Poland;9;European Conservatives and Reformists;Law and Justice
Olli Rehn;Ilmari;Rehn;male;1962-03-31;Finland;4;European Liberal Democrat and Reform Party Group;Centre Party
Olli Rehn;Ilmari;Rehn;male;1962-03-31;Finland;8;Group of the Alliance of Liberals and Democrats for Europe;Centre Party
Gaston Thorn;Gaston;Thorn;male;1928-09-03;Luxembourg constituency of the European Parliament;1;European Liberal Democrat and Reform Party Group;Democratic Party
Michel Debré;Michel;Debré;male;1912-01-15;France;1;European Progressive Democrats;Rally for the Republic
Theodoros Zagorakis;Thodoris;;male;1971-10-27;Greece;8;European People's Party group;New Democracy
Theodoros Zagorakis;Thodoris;;male;1971-10-27;Greece;9;European People's Party group;New Democracy
Ian Paisley;Ian;Paisley;male;1926-04-06;Northern Ireland;5;Non-Inscrits;Democratic Unionist Party
Ian Paisley;Ian;Paisley;male;1926-04-06;Northern Ireland;4;Non-Inscrits;Democratic Unionist Party
Ian Paisley;Ian;Paisley;male;1926-04-06;Northern Ireland;3;Non-Inscrits;Democratic Unionist Party
Ian Paisley;Ian;Paisley;male;1926-04-06;Northern Ireland;2;Non-Inscrits;Democratic Unionist Party
Ian Paisley;Ian;Paisley;male;1926-04-06;Northern Ireland;1;Non-Inscrits;Democratic Unionist Party
Wayne David;Wayne;David;male;1957-07-01;South Wales Central;4;Progressive Alliance of Socialists and Democrats;Labour Party
Wayne David;Wayne;David;male;1957-07-01;South Wales;3;Progressive Alliance of Socialists and Democrats;Labour Party
Rolandas Paksas;Rolandas;Paksas;male;1956-06-10;Lithuania;8;Europe of Freedom and Direct Democracy;Order and Justice
Rolandas Paksas;Rolandas;Paksas;male;1956-06-10;Lithuania;7;Europe of Freedom and Democracy;Order and Justice
Elisabeth Rehn;Elisabeth;Carlberg;female;1935-04-06;Finland;4;European Liberal Democrat and Reform Party Group;Swedish People's Party of Finland
Simone Veil;Liline;Veil;female;1927-07-13;France;3;European Liberal Democrat and Reform Party Group;Union for French Democracy
Simone Veil;Liline;Veil;female;1927-07-13;France;2;European Liberal Democrat and Reform Party Group;Union for French Democracy
Simone Veil;Liline;Veil;female;1927-07-13;France;1;European Liberal Democrat and Reform Party Group;Union for French Democracy
Ann Widdecombe;Ann;Widdecombe;female;1947-10-04;South West England;9;Non-Inscrits;Brexit Party
Dubravka Šuica;Dubravka;;female;1957-05-20;Croatia;7;European People's Party group;Croatian Democratic Union
Dubravka Šuica;Dubravka;;female;1957-05-20;Croatia;8;European People's Party group;Croatian Democratic Union
Dubravka Šuica;Dubravka;;female;1957-05-20;Croatia;9;European People's Party group;Croatian Democratic Union
Hartmut Nassauer;Hartmut;Nassauer;male;1942-10-17;Germany;6;European People's Party group;Christian Democratic Union
Hartmut Nassauer;Hartmut;Nassauer;male;1942-10-17;Germany;5;European People's Party group;Christian Democratic Union
Hartmut Nassauer;Hartmut;Nassauer;male;1942-10-17;Germany;4;European People's Party group;Christian Democratic Union
Aart Geurtsen;Aart;;male;1926-01-17;Netherlands;1;European Liberal Democrat and Reform Party Group;People's Party for Freedom and Democracy
Jonathan Evans;Jonathan;Evans;male;1950-06-02;Wales;6;European People's Party group;Conservative Party
Jonathan Evans;Jonathan;Evans;male;1950-06-02;Wales;5;European People's Party group;Conservative Party
Mart Laar;Mart;Laar;male;1960-04-22;Estonia;5;European People's Party group;Isamaa
Özlem Demirel;Alev;Böhlke;female;1984-03-10;Germany;9;European United Left–Nordic Green Left;The Left
Özlem Demirel;Alev;Böhlke;female;1984-03-10;Germany;10;European United Left–Nordic Green Left;The Left
Pat Cox;Pat;Cox;male;1952-11-28;Munster;5;European Liberal Democrat and Reform Party Group;independent politician
Pat Cox;Pat;Cox;male;1952-11-28;Munster;4;European Liberal Democrat and Reform Party Group;independent politician
Pat Cox;Pat;Cox;male;1952-11-28;Munster;3;European Liberal Democrat and Reform Party Group;Progressive Democrats
Poul Nyrup Rasmussen;Poul;Rasmussen;male;1943-06-15;Denmark;6;Progressive Alliance of Socialists and Democrats;Social Democrats
Emilio Colombo;Emilio;Colombo;male;1920-04-14;Italy;3;European People's Party group;Christian Democracy
Emilio Colombo;Emilio;Colombo;male;1920-04-14;Italy;1;European People's Party group;Christian Democracy
Josep Borrell;Josep;Borrell;male;1947-04-24;Spain;6;Progressive Alliance of Socialists and Democrats;Spanish Socialist Workers' Party
Ari Vatanen;Ari;Vatanen;male;1952-04-27;South-East France;6;European People's Party group;Union for a Popular Movement
Ari Vatanen;Ari;Vatanen;male;1952-04-27;Finland;5;European People's Party group;National Coalition Party
Wilfried Martens;Wilfried;Martens;male;1936-04-19;Dutch-speaking electoral college;4;European People's Party group;Christian Democratic and Flemish
Ralf Walter;Ralf;Walter;male;1958-03-15;Germany;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Ralf Walter;Ralf;Walter;male;1958-03-15;Germany;5;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Ralf Walter;Ralf;Walter;male;1958-03-15;Germany;4;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Tobias Pflüger;Tobias;Pflüger;male;1965-02-01;Germany;6;European United Left–Nordic Green Left;The Left
Ciriaco De Mita;Ciriaco;De Mita;male;1928-02-02;Italy;7;European People's Party group;Union of the Centre
Ciriaco De Mita;Ciriaco;De Mita;male;1928-02-02;Italy;5;European People's Party group;Union of the Centre
Ciriaco De Mita;Ciriaco;De Mita;male;1928-02-02;Italy;2;European People's Party group;Union of the Centre
Mariano Rumor;Mariano;Rumor;male;1915-06-16;Italy;1;European People's Party group;Christian Democracy
Leonardo Sciascia;Leonardo;Sciascia;male;1921-01-08;Italy;1;Technical Group of Independents;Radical Party
Ovidiu Ganț;Ovidiu;Ganț;male;1966-08-18;Romania;6;European People's Party group;Democratic Forum of Germans in Romania
Rolf Berend;Rolf;Berend;male;1943-10-01;Germany;6;European People's Party group;Christian Democratic Union
Rolf Berend;Rolf;Berend;male;1943-10-01;Germany;5;European People's Party group;Christian Democratic Union
Rolf Berend;Rolf;Berend;male;1943-10-01;Germany;4;European People's Party group;Christian Democratic Union
Abel Matutes;Abel;;male;1941-10-31;Spain;4;European People's Party group;People's Party
Walter Veltroni;Walter;Veltroni;male;1955-07-03;Italy;5;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Yiannos Papantoniou;;Papantoniou;male;1949-07-27;Greece;1;Progressive Alliance of Socialists and Democrats;Panhellenic Socialist Movement
Horst Posdorf;Horst;;male;1948-02-08;Germany;6;European People's Party group;Christian Democratic Union
Bogdan Zdrojewski;Bogdan;Zdrojewski;male;1957-05-18;Lower Silesian and Opole;8;European People's Party group;Civic Platform
Bogdan Zdrojewski;Bogdan;Zdrojewski;male;1957-05-18;Poland;10;European People's Party group;Civic Platform
Kjeld Olesen;Kjeld;Olesen;male;1932-07-08;Denmark;1;Progressive Alliance of Socialists and Democrats;Social Democrats
Edgar Faure;Jean;Faure;male;1908-08-18;France;1;European Liberal Democrat and Reform Party Group;Union for France
Poul Schlüter;Poul;Schlüter;male;1929-04-03;Denmark;4;European People's Party group;Conservative People's Party
Robert Evans;Robert;Evans;male;1956-10-23;Wales;6;Progressive Alliance of Socialists and Democrats;Labour Party
Robert Evans;Robert;Evans;male;1956-10-23;London;5;Progressive Alliance of Socialists and Democrats;Labour Party
Robert Evans;Robert;Evans;male;1956-10-23;London North West;4;Progressive Alliance of Socialists and Democrats;Labour Party
John Bowis;John;Bowis;male;1945-08-02;London;6;European People's Party group;Conservative Party
John Bowis;John;Bowis;male;1945-08-02;London;5;European People's Party group;Conservative Party
Edward Czesak;Edward;Czesak;male;1951-02-22;Lesser Poland and Świętokrzyskie;8;European Conservatives and Reformists;Law and Justice
Luigi Berlinguer;Luigi;Berlinguer;male;1932-07-25;Italy;7;Progressive Alliance of Socialists and Democrats;Democratic Party
Bogdan Wenta;Bogdan;Wenta;male;1961-11-19;Lesser Poland and Świętokrzyskie;8;European People's Party group;Civic Platform
Pierre Pflimlin;Pierre;Pfimlin;male;1907-01-15;France;2;European People's Party group;Union for French Democracy
Pierre Pflimlin;Pierre;Pfimlin;male;1907-01-15;France;1;European People's Party group;Union for French Democracy
Marcelle Lentz-Cornette;Marcelle;Lentz-Cornette;female;1927-03-02;Luxembourg constituency of the European Parliament;2;European People's Party group;Christian Social People's Party
Marcelle Lentz-Cornette;Marcelle;Lentz-Cornette;female;1927-03-02;Luxembourg constituency of the European Parliament;1;European People's Party group;Christian Social People's Party
Robert Krieps;Robert;Krieps;male;1922-10-16;Luxembourg constituency of the European Parliament;3;Progressive Alliance of Socialists and Democrats;Luxembourg Socialist Workers' Party
Olaf Stuger;Olaf;Stuger;male;1969-05-03;Netherlands;8;Non-Inscrits;Party for Freedom
Olaf Stuger;Olaf;Stuger;male;1969-05-03;Netherlands;8;Europe of Nations and Freedom;Party for Freedom
Geoff Hoon;Geoff;Hoon;male;1953-12-06;Derbyshire;3;Progressive Alliance of Socialists and Democrats;Labour Party
Geoff Hoon;Geoff;Hoon;male;1953-12-06;Derbyshire;2;Progressive Alliance of Socialists and Democrats;Labour Party
Chris Huhne;Chris;Huhne;male;1954-07-02;South East England;6;Group of the Alliance of Liberals and Democrats for Europe;Liberal Democrats
Chris Huhne;Chris;Huhne;male;1954-07-02;South East England;5;European Liberal Democrat and Reform Party Group;Liberal Democrats
Neil Parish;Neil;Parish;male;1956-05-26;South West England;6;European People's Party group;Conservative Party
Neil Parish;Neil;Parish;male;1956-05-26;South West England;5;European People's Party group;Conservative Party
Jim Nicholson;James;Nicholson;male;1945-01-29;Northern Ireland;3;European People's Party group;Ulster Unionist Party
Jim Nicholson;James;Nicholson;male;1945-01-29;Northern Ireland;4;European People's Party group;Ulster Unionist Party
Jim Nicholson;James;Nicholson;male;1945-01-29;Northern Ireland;5;European People's Party group;Ulster Unionist Party
Jim Nicholson;James;Nicholson;male;1945-01-29;Northern Ireland;6;European People's Party group;Ulster Unionist Party
Jim Nicholson;James;Nicholson;male;1945-01-29;Northern Ireland;7;European Conservatives and Reformists;Ulster Unionist Party
Jim Nicholson;James;Nicholson;male;1945-01-29;Northern Ireland;8;European Conservatives and Reformists;Ulster Unionist Party
Robert Atkins;Robert;Atkins;male;1946-02-05;North West England;7;European Conservatives and Reformists;Conservative Party
Robert Atkins;Robert;Atkins;male;1946-02-05;North West England;6;European People's Party group;Conservative Party
Robert Atkins;Robert;Atkins;male;1946-02-05;North West England;5;European People's Party group;Conservative Party
Robert Kilroy-Silk;Robert;;male;1942-05-19;East Midlands;6;Non-Inscrits;UK Independence Party
John Taylor;John;Taylor;male;1937-12-24;Northern Ireland;2;Non-Inscrits;Ulster Unionist Party
John Taylor;John;Taylor;male;1937-12-24;Northern Ireland;1;Non-Inscrits;Ulster Unionist Party
Winnie Ewing;Winnie;Ewing;female;1929-07-10;Highlands and Islands;4;European Radical Alliance;Scottish National Party
Winnie Ewing;Winnie;Ewing;female;1929-07-10;Highlands and Islands;3;Rainbow Group;Scottish National Party
Winnie Ewing;Winnie;Ewing;female;1929-07-10;Highlands and Islands;2;European Democratic Alliance;Scottish National Party
Winnie Ewing;Winnie;Ewing;female;1929-07-10;Highlands and Islands;1;European Progressive Democrats;Scottish National Party
Nirj Deva;;Deva;male;1948-05-11;South East England;5;European People's Party group;Conservative Party
Nirj Deva;;Deva;male;1948-05-11;South East England;6;European People's Party group;Conservative Party
Nirj Deva;;Deva;male;1948-05-11;South East England;7;European Conservatives and Reformists;Conservative Party
Nirj Deva;;Deva;male;1948-05-11;South East England;8;European Conservatives and Reformists;Conservative Party
Liz Lynne;Liz;Lynne;female;1948-01-22;West Midlands;7;Group of the Alliance of Liberals and Democrats for Europe;Liberal Democrats
Liz Lynne;Liz;Lynne;female;1948-01-22;West Midlands;6;Group of the Alliance of Liberals and Democrats for Europe;Liberal Democrats
Liz Lynne;Liz;Lynne;female;1948-01-22;West Midlands;5;European Liberal Democrat and Reform Party Group;Liberal Democrats
Timothy Kirkhope;Timothy;Kirkhope;male;1945-04-29;Yorkshire and the Humber;5;European People's Party group;Conservative Party
Timothy Kirkhope;Timothy;Kirkhope;male;1945-04-29;Yorkshire and the Humber;6;European People's Party group;Conservative Party
Timothy Kirkhope;Timothy;Kirkhope;male;1945-04-29;Yorkshire and the Humber;7;European Conservatives and Reformists;Conservative Party
Timothy Kirkhope;Timothy;Kirkhope;male;1945-04-29;Yorkshire and the Humber;8;European Conservatives and Reformists;Conservative Party
Phillip Whitehead;Phillip;Whitehead;male;1937-05-30;East Midlands;6;Progressive Alliance of Socialists and Democrats;Labour Party
Phillip Whitehead;Phillip;Whitehead;male;1937-05-30;East Midlands;5;Progressive Alliance of Socialists and Democrats;Labour Party
Phillip Whitehead;Phillip;Whitehead;male;1937-05-30;Staffordshire East and Derby;4;Progressive Alliance of Socialists and Democrats;Labour Party
Emma Nicholson;Emma;Nicholson;female;1941-10-16;South East England;6;Group of the Alliance of Liberals and Democrats for Europe;Liberal Democrats
Emma Nicholson;Emma;Nicholson;female;1941-10-16;South East England;5;European Liberal Democrat and Reform Party Group;Liberal Democrats
William Legge, 10th Earl of Dartmouth;William;Legge;male;1949-09-23;South West England;7;Europe of Freedom and Democracy;UK Independence Party
William Legge, 10th Earl of Dartmouth;William;Legge;male;1949-09-23;South West England;8;Europe of Freedom and Direct Democracy;UK Independence Party
Peter Truscott, Baron Truscott;Peter;Truscott;male;1959-03-20;Hertfordshire;4;Progressive Alliance of Socialists and Democrats;Labour Party
Gloria Hooper, Baroness Hooper;Gloria;Hooper;female;1939-05-25;Liverpool;1;European Democrats;Conservative Party
Patricia Rawlings, Baroness Rawlings;Patricia;Rawlings;female;1939-01-27;Essex South West;3;European People's Party group;Conservative Party
Giovanni Goria;Giovanni;Goria;male;1943-07-30;Italy;3;European People's Party group;Christian Democracy
Henry Plumb, Baron Plumb;Charles;Plumb;male;1925-03-27;Cotswolds;4;European People's Party group;Conservative Party
Henry Plumb, Baron Plumb;Charles;Plumb;male;1925-03-27;Cotswolds;3;European People's Party group;Conservative Party
Henry Plumb, Baron Plumb;Charles;Plumb;male;1925-03-27;Cotswolds;2;European People's Party group;Conservative Party
Henry Plumb, Baron Plumb;Charles;Plumb;male;1925-03-27;Cotswolds;1;European People's Party group;Conservative Party
Angela Billingham, Baroness Billingham;Angela;;female;1939-07-31;Northamptonshire and Blaby;4;Progressive Alliance of Socialists and Democrats;Labour Party
Sarah Ludford, Baroness Ludford;Sarah;Ludford;female;1951-03-14;London;7;Group of the Alliance of Liberals and Democrats for Europe;Liberal Democrats
Sarah Ludford, Baroness Ludford;Sarah;Ludford;female;1951-03-14;London;6;Group of the Alliance of Liberals and Democrats for Europe;Liberal Democrats
Sarah Ludford, Baroness Ludford;Sarah;Ludford;female;1951-03-14;London;5;European Liberal Democrat and Reform Party Group;Liberal Democrats
Robin Teverson;Robin;Teverson;male;1952-01-01;Cornwall and West Plymouth;4;European Liberal Democrat and Reform Party Group;Liberal Democrats
Richard Fletcher-Vane, 2nd Baron Inglewood;Richard;Vane;male;1951-07-31;North West England;5;European People's Party group;Conservative Party
Richard Fletcher-Vane, 2nd Baron Inglewood;Richard;Vane;male;1951-07-31;Cumbria and Lancashire North;3;European People's Party group;Conservative Party
Christopher Prout, Baron Kingsland;Christopher;;male;1942-01-01;Shropshire and Stafford;3;European People's Party group;Conservative Party
Christopher Prout, Baron Kingsland;Christopher;;male;1942-01-01;Shropshire and Stafford;2;European People's Party group;Conservative Party
Christopher Prout, Baron Kingsland;Christopher;;male;1942-01-01;Salop and Stafford;1;European People's Party group;Conservative Party
Eluned Morgan, Baroness Morgan of Ely;Eluned;Morgan;female;1967-02-16;Wales;6;Progressive Alliance of Socialists and Democrats;Labour Party
Eluned Morgan, Baroness Morgan of Ely;Eluned;Morgan;female;1967-02-16;Wales;5;Progressive Alliance of Socialists and Democrats;Labour Party
Eluned Morgan, Baroness Morgan of Ely;Eluned;Morgan;female;1967-02-16;Mid and West Wales;4;Progressive Alliance of Socialists and Democrats;Labour Party
Glenys Kinnock, Baroness Kinnock of Holyhead;Glenys;Kinnock;female;1944-07-07;Wales;6;Progressive Alliance of Socialists and Democrats;Labour Party
Glenys Kinnock, Baroness Kinnock of Holyhead;Glenys;Kinnock;female;1944-07-07;Wales;5;Progressive Alliance of Socialists and Democrats;Labour Party
Glenys Kinnock, Baroness Kinnock of Holyhead;Glenys;Kinnock;female;1944-07-07;South Wales East;4;Progressive Alliance of Socialists and Democrats;Labour Party
Diana Elles, Baroness Elles;Diana;Elles;female;1921-07-19;Thames Valley;2;European Democrats;Conservative Party
Diana Elles, Baroness Elles;Diana;Elles;female;1921-07-19;Thames Valley;1;European Democrats;Conservative Party
Richard Caborn;Richard;Caborn;male;1943-10-06;Sheffield;1;Progressive Alliance of Socialists and Democrats;Labour Party
David Curry;David;Curry;male;1944-06-13;Essex North East;2;European Democrats;Conservative Party
David Curry;David;Curry;male;1944-06-13;Essex North East;1;European Democrats;Conservative Party
Achille Occhetto;Leone;Occhetto;male;1936-03-03;Southern Italy;6;Progressive Alliance of Socialists and Democrats;independent politician
Achille Occhetto;Leone;Occhetto;male;1936-03-03;Italy;4;Progressive Alliance of Socialists and Democrats;independent politician
Achille Occhetto;Leone;Occhetto;male;1936-03-03;Italy;3;Progressive Alliance of Socialists and Democrats;independent politician
Ģirts Valdis Kristovskis;Valdis;Kristovskis;male;1962-02-19;Latvia;6;Union for Europe of the Nations;For Fatherland and Freedom/LNNK
Sylwester Chruszcz;Sylwester;Chruszcz;male;1972-08-22;Lower Silesian and Opole;6;Union for Europe of the Nations;League of Polish Families
Radu Țârle;Radu;Țîrle;male;1967-05-17;Romania;6;European People's Party group;Democratic Liberal Party
Marian-Jean Marinescu;;Marinescu;male;1952-08-11;Romania;8;European People's Party group;National Liberal Party
Marian-Jean Marinescu;;Marinescu;male;1952-08-11;Romania;7;European People's Party group;Democratic Liberal Party
Marian-Jean Marinescu;;Marinescu;male;1952-08-11;Romania;6;European People's Party group;Democratic Liberal Party
Marian-Jean Marinescu;;Marinescu;male;1952-08-11;Romania;9;European People's Party group;National Liberal Party
Cristian Dumitrescu;Cristian;Dumitrescu;male;1955-04-24;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Radu Podgorean;Radu;Podgorean;male;1955-03-22;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Vasile Dîncu;Sebastian;Dîncu;male;1961-11-25;Romania;10;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Vasile Dîncu;Sebastian;Dîncu;male;1961-11-25;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Dan Mihalache;Dan;Mihalache;male;1971-05-18;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Károly Ferenc Szabó;Károly;Szabó;male;1943-08-29;Romania;6;European People's Party group;Democratic Union of Hungarians in Romania
Ovidiu Silaghi;Ovidiu;Silaghi;male;1962-12-12;Romania;7;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Ovidiu Silaghi;Ovidiu;Silaghi;male;1962-12-12;Romania;6;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Lasse Lehtinen;Antero;Lehtinen;male;1947-01-23;Finland;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Finland
Petre Popeangă;Petre;Popeangă;male;1944-05-19;Romania;6;Non-Inscrits;Greater Romania Party
Mircea Coșea;Mircea;Coșea;male;1942-06-09;Romania;6;Non-Inscrits;independent politician
Gheorghe Vergil Șerbu;Gheorghe;Șerbu;male;1949-03-29;Romania;6;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Ioan Mircea Pașcu;Ioan;Pașcu;male;1949-02-17;Romania;8;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Ioan Mircea Pașcu;Ioan;Pașcu;male;1949-02-17;Romania;7;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Ioan Mircea Pașcu;Ioan;Pașcu;male;1949-02-17;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Vasile Pușcaș;Vasile;Pușcaș;male;1952-07-08;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Cristian Bușoi;Cristian;Bușoi;male;1978-03-01;Romania;8;European People's Party group;National Liberal Party
Cristian Bușoi;Cristian;Bușoi;male;1978-03-01;Romania;7;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Cristian Bușoi;Cristian;Bușoi;male;1978-03-01;Romania;6;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Cristian Bușoi;Cristian;Bușoi;male;1978-03-01;Romania;9;European People's Party group;National Liberal Party
Alexandru Ioan Morțun;Alexandru;;male;1951-07-16;Romania;6;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Eugen Mihăescu;Eugene;Mihăescu;male;1937-08-24;Romania;6;Non-Inscrits;Greater Romania Party
Eduard Raul Hellvig;Eduard;Hellvig;male;1974-10-27;Romania;8;European People's Party group;National Liberal Party
Eduard Raul Hellvig;Eduard;Hellvig;male;1974-10-27;Romania;7;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Eduard Raul Hellvig;Eduard;Hellvig;male;1974-10-27;Romania;6;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Cristian Stănescu;Cristian;Stănescu;male;1951-10-13;Romania;6;Non-Inscrits;Greater Romania Party
Adam Gierek;Adam;Gierek;male;1938-04-17;Silesian;8;Progressive Alliance of Socialists and Democrats;Labour Union
Adam Gierek;Adam;Gierek;male;1938-04-17;Poland;7;Progressive Alliance of Socialists and Democrats;Labour Union
Adam Gierek;Adam;Gierek;male;1938-04-17;Silesian;6;Progressive Alliance of Socialists and Democrats;Labour Union
Adam Szejnfeld;Adam;Szejnfeld;male;1958-11-13;Greater Poland;8;European People's Party group;Civic Platform
Adamos Adamou;Adamos;Adamou;male;1950-10-30;Cyprus;6;European United Left–Nordic Green Left;Progressive Party of Working People
Timo Soini;Juhani;Soini;male;1962-05-30;Finland;7;Europe of Freedom and Democracy;Finns Party
Pierre Moscovici;Pierre;Moscovici;male;1957-09-16;France;6;Progressive Alliance of Socialists and Democrats;Socialist Party
Pierre Moscovici;Pierre;Moscovici;male;1957-09-16;France;4;Progressive Alliance of Socialists and Democrats;Socialist Party
Raymond Forni;Raymond;Forni;male;1941-05-20;France;1;Progressive Alliance of Socialists and Democrats;Socialist Party
Andrzej Lepper;Zbigniew;Lepper;male;1954-06-13;Poland;5;Non-Inscrits;Self-Defence of the Republic of Poland
David Morris;David;Morris;male;1930-01-28;South Wales West;4;Progressive Alliance of Socialists and Democrats;Labour Party
David Morris;David;Morris;male;1930-01-28;Mid and West Wales;3;Progressive Alliance of Socialists and Democrats;Labour Party
David Morris;David;Morris;male;1930-01-28;Mid and West Wales;2;Progressive Alliance of Socialists and Democrats;Labour Party
Gijs de Vries;Gijs;De Vries;male;1956-02-22;Netherlands;4;European Liberal Democrat and Reform Party Group;People's Party for Freedom and Democracy
Gijs de Vries;Gijs;De Vries;male;1956-02-22;Netherlands;3;European Liberal Democrat and Reform Party Group;People's Party for Freedom and Democracy
Gijs de Vries;Gijs;De Vries;male;1956-02-22;Netherlands;2;European Liberal Democrat and Reform Party Group;People's Party for Freedom and Democracy
António Correia de Campos;Antonio;;male;1942-12-14;Portugal;7;Progressive Alliance of Socialists and Democrats;Socialist Party
Philippe Douste-Blazy;Georges;Douste-Blazy;male;1953-01-01;France;3;European People's Party group;Union for French Democracy
Petru Filip;Petru;Filip;male;1955-01-23;Romania;6;European People's Party group;Democratic Liberal Party
Biagio De Giovanni;Biagio;De Giovanni;male;1931-12-21;Italy;4;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Biagio De Giovanni;Biagio;De Giovanni;male;1931-12-21;Italy;3;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Herman Schmid;Herman;Schmid;male;1939-12-31;Sweden;5;European United Left–Nordic Green Left;Left Party
Witold Tomczak;Witold;Tomczak;male;1957-04-05;Poland;6;Independence/Democracy;League of Polish Families
Witold Tomczak;Witold;Tomczak;male;1957-04-05;Poland;5;Non-Inscrits;League of Polish Families
Sonia Alfano;Sonia;Alfano;female;1971-10-15;Italy;7;Group of the Alliance of Liberals and Democrats for Europe;Italy of Values
Massimo Cacciari;Massimo;Cacciari;male;1944-06-05;Italy;5;European Liberal Democrat and Reform Party Group;The Democrats
Zita Gurmai;Zita;;female;1965-06-01;Hungary;7;Progressive Alliance of Socialists and Democrats;Hungarian Socialist Party
Zita Gurmai;Zita;;female;1965-06-01;Hungary;6;Progressive Alliance of Socialists and Democrats;Hungarian Socialist Party
Zita Gurmai;Zita;;female;1965-06-01;Hungary;5;Progressive Alliance of Socialists and Democrats;Hungarian Socialist Party
Giorgio Ruffolo;Giorgio;Ruffolo;male;1926-08-14;Italy;5;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Giorgio Ruffolo;Giorgio;Ruffolo;male;1926-08-14;Italy;4;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Giorgio Ruffolo;Giorgio;Ruffolo;male;1926-08-14;Italy;1;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Lívia Járóka;Lívia;;female;1974-10-06;Hungary;8;European People's Party group;Fidesz
Lívia Járóka;Lívia;;female;1974-10-06;Hungary;7;European People's Party group;Fidesz
Lívia Járóka;Lívia;;female;1974-10-06;Hungary;6;European People's Party group;Fidesz
Lívia Járóka;Lívia;;female;1974-10-06;Hungary;9;European People's Party group;Fidesz
Adrian Cioroianu;Adrian;Cioroianu;male;1967-01-05;Romania;6;Group of the Alliance of Liberals and Democrats for Europe;National Liberal Party
Adrian Severin;Adrian;Severin;male;1954-03-28;Romania;7;Non-Inscrits;Social Democratic Party
Adrian Severin;Adrian;Severin;male;1954-03-28;Romania;6;Non-Inscrits;Social Democratic Party
Andris Ameriks;Andris;Ameriks;male;1961-03-05;Latvia;9;Progressive Alliance of Socialists and Democrats;"Social Democratic Party ""Harmony"""
Jerzy Wenderlich;Jerzy;Wenderlich;male;1954-04-22;Poland;5;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Joachim Brudziński;Joachim;Brudziński;male;1968-02-04;Poland;9;European Conservatives and Reformists;Law and Justice
Joachim Brudziński;Joachim;Brudziński;male;1968-02-04;Poland;10;European Conservatives and Reformists;Law and Justice
Janusz Zemke;Władysław;Zemke;male;1949-02-24;Kuyavian-Pomeranian;8;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Janusz Zemke;Władysław;Zemke;male;1949-02-24;Poland;7;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Tadeusz Iwiński;Tadeusz;Iwiński;male;1944-10-28;Poland;5;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Catherine Grèze;Catherine;;female;1960-04-15;South-West France;7;The Greens–European Free Alliance;The Ecologists – Europe Écologie Les Verts
Adrien Zeller;Adrien;Zeller;male;1940-04-02;France;3;European People's Party group;Union for French Democracy
